"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE981362165548";"Trianel Windpark Sundern WEA 10";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE922118506475";"Trianel Windpark Sundern WEA 12";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE901267014543";"WEA 1 1381046 Hagen Brechtefeld";"In Betrieb";"16.8.2024";"3.9.2024";"Wind";"4200";"4200";"58091";"Hagen";"SL Betriebs GmbH & Co. KG";"ABR970770820705";"3.9.2024"
"SEE959271193129";"250469";"In Betrieb";"29.8.2024";"3.9.2024";"Wind";"6200";"6200";"16845";"Neustadt";"Windpark Neustadt Süd Eins GmbH & Co. KG";"ABR930726085503";"3.9.2024"
"SEE903614956360";"250470";"In Betrieb";"30.8.2024";"3.9.2024";"Wind";"6200";"6200";"16845";"Neustadt";"Windpark Neustadt Süd Eins GmbH & Co. KG";"ABR930726085503";"3.9.2024"
"SEE992013445162";"WEA bei Böddecker";"In Planung";"";"3.9.2024";"Wind";"4200";"4200";"33184";"Altenbeken";"BENE Erneuerbare Energien GmbH";"ABR985325863472";"3.9.2024"
"SEE939929696813";"Perl Erweiterung";"In Betrieb";"23.8.2024";"2.9.2024";"Wind";"5600";"5600";"66706";"Perl";"juwi Wind Germany 233 GmbH & Co. KG";"ABR942052488606";"5.9.2024"
"SEE980767136368";"Nienborstel / 93902";"In Betrieb";"13.8.2024";"2.9.2024";"Wind";"5700";"5700";"24819";"Nienborstel";"Mittelholsteiner Windkraft GmbH & Co. KG";"ABR977290093343";"17.9.2024"
"SEE924200703199";"E160 Windenergiegemeinschaft";"In Planung";"";"2.9.2024";"Wind";"5560";"5560";"48249";"Dülmen";"Windenergiegemeinschaft Empte GmbH&Co. KG";"ABR900406701351";"3.10.2024"
"SEE926063817945";"E175 Windenergiegemeinschaft";"In Planung";"";"2.9.2024";"Wind";"6000";"6000";"48249";"Dülmen";"Windenergiegemeinschaft Empte GmbH&Co. KG";"ABR900406701351";"3.10.2024"
"SEE921323597209";"BE12";"In Betrieb";"23.8.2024";"30.8.2024";"Wind";"9525";"9525";"";"";"Baltic Eagle GmbH";"ABR969791194568";"2.9.2024"
"SEE932043859904";"BE13";"In Betrieb";"23.8.2024";"30.8.2024";"Wind";"9525";"9525";"";"";"Baltic Eagle GmbH";"ABR969791194568";"2.9.2024"
"SEE914044592523";"BE20";"In Betrieb";"6.8.2024";"30.8.2024";"Wind";"9525";"9525";"";"";"Baltic Eagle GmbH";"ABR969791194568";"2.9.2024"
"SEE908202339938";"BE21";"In Betrieb";"24.8.2024";"30.8.2024";"Wind";"9525";"9525";"";"";"Baltic Eagle GmbH";"ABR969791194568";"2.9.2024"
"SEE984871130311";"BE22";"In Betrieb";"24.8.2024";"30.8.2024";"Wind";"9525";"9525";"";"";"Baltic Eagle GmbH";"ABR969791194568";"2.9.2024"
"SEE944385698295";"WEA Kempfenbühl Repowering Süd";"In Planung";"";"30.8.2024";"Wind";"6000";"6000";"77960";"Seelbach";"FHE Windkraft GmbH & Co. KG";"ABR945645718258";"30.8.2024"
"SEE985447348963";"WEA 1";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE937847283627";"WEA 10";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE947800589321";"WEA 11";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"17.10.2024"
"SEE942166767673";"WEA 2";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE960042009419";"WEA 3";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE942510365647";"WEA 4";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE956898537398";"WEA 5";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE908734657975";"WEA 6";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE979773147550";"WEA 7";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE980689461470";"WEA 8";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE928654316424";"WEA 9";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"4.10.2024"
"SEE915495528475";"WEA 1";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE958301521437";"WEA 2";"In Planung";"";"30.8.2024";"Wind";"7200";"7200";"27299";"Langwedel";"Energiekontor AG";"ABR944401108647";"30.8.2024"
"SEE938763488318";"Ebb03";"In Betrieb";"27.8.2024";"29.8.2024";"Wind";"5560";"5560";"33178";"Borchen";"Windpark Altenautal Repowering GmbH & Co. KG";"ABR938454461491";"29.8.2024"
"SEE964201465337";"Anlage HJM";"In Betrieb";"26.8.2024";"29.8.2024";"Wind";"2";"2";"16247";"Friedrichswalde";"(natürliche Person)";"ABR982639768226";"29.8.2024"
"SEE922313461937";"WEA1-251581";"In Betrieb";"9.8.2024";"28.8.2024";"Wind";"5600";"5600";"45721";"Haltern am See";"Tannenberg Wind GmbH & Co. KG";"ABR907395828953";"4.9.2024"
"SEE919243563299";"248245";"In Betrieb";"26.7.2024";"28.8.2024";"Wind";"3450";"3450";"56825";"Urschmitt";"enercity Windpark Beuren GmbH";"ABR943296998173";"25.9.2024"
"SEE917750534337";"248244";"In Betrieb";"26.7.2024";"28.8.2024";"Wind";"3450";"3450";"56825";"Kliding";"enercity Windpark Beuren GmbH";"ABR943296998173";"25.9.2024"
"SEE918889423844";"248239";"In Betrieb";"26.7.2024";"28.8.2024";"Wind";"3450";"3450";"56825";"Beuren";"enercity Windpark Beuren GmbH";"ABR943296998173";"25.9.2024"
"SEE905061348613";"248240";"In Betrieb";"30.7.2024";"28.8.2024";"Wind";"3450";"3450";"56825";"Beuren";"enercity Windpark Beuren GmbH";"ABR943296998173";"25.9.2024"
"SEE961044443409";"248241";"In Betrieb";"29.7.2024";"28.8.2024";"Wind";"3450";"3450";"56825";"Beuren";"enercity Windpark Beuren GmbH";"ABR943296998173";"25.9.2024"
"SEE910894987731";"248242";"In Betrieb";"29.7.2024";"28.8.2024";"Wind";"3450";"3450";"56825";"Beuren";"enercity Windpark Beuren GmbH";"ABR943296998173";"25.9.2024"
"SEE965593301777";"248243";"In Betrieb";"25.7.2024";"28.8.2024";"Wind";"3450";"3450";"56825";"Beuren";"enercity Windpark Beuren GmbH";"ABR943296998173";"28.8.2024"
"SEE906429394594";"ABO Wind WP Niederöfflingen WEA 1";"In Betrieb";"20.8.2024";"28.8.2024";"Wind";"5560";"5560";"54533";"Niederöfflingen";"WP Niederöfflingen GmbH & Co. KG";"ABR923485024449";"28.8.2024"
"SEE946554046913";"ABO Wind WP Niederöfflingen WEA 2";"In Betrieb";"23.8.2024";"28.8.2024";"Wind";"5560";"5560";"54533";"Niederöfflingen";"WP Niederöfflingen GmbH & Co. KG";"ABR923485024449";"28.8.2024"
"SEE947013229243";"Windkraft Hellenhausen";"In Planung";"";"28.8.2024";"Wind";"6000";"6000";"66265";"Heusweiler";"Anschütz Erneuerbare Energien GmbH";"ABR958082265209";"27.9.2024"
"SEE961184822775";"WPIR11";"In Betrieb";"31.7.2024";"27.8.2024";"Wind";"4200";"4200";"26632";"Ihlow";"WPI Repowering GmbH & Co. KG";"ABR954611079286";"27.8.2024"
"SEE938198056304";"WPIR12";"In Betrieb";"31.7.2024";"27.8.2024";"Wind";"4200";"4200";"26632";"Ihlow";"WPI Repowering GmbH & Co. KG";"ABR954611079286";"27.8.2024"
"SEE999839709096";"EE Dosse";"In Planung";"";"27.8.2024";"Wind";"6800";"6800";"16909";"Wittstock";"EE Dosse GmbH & Co. KG";"ABR961070339202";"27.8.2024"
"SEE927443224797";"WP Borsum WEA 3 Enercon E160";"In Betrieb";"22.8.2024";"26.8.2024";"Wind";"5560";"5560";"26899";"Rhede";"Windpark Borsum GmbH & Co. KG";"ABR974145340584";"1.10.2024"
"SEE987511000678";"Vestinas Wind 1 GmbH";"In Betrieb";"23.8.2024";"26.8.2024";"Wind";"5600";"5600";"66706";"Perl";"Vestinas Wind 1 GmbH";"ABR904377282451";"26.8.2024"
"SEE916479645485";"WEA 03";"In Planung";"";"26.8.2024";"Wind";"6000";"6000";"18461";"Franzburg";"eno energy GmbH";"ABR918822616838";"26.8.2024"
"SEE955978095087";"WEA 04";"In Planung";"";"26.8.2024";"Wind";"6000";"6000";"18461";"Franzburg";"eno energy GmbH";"ABR918822616838";"26.8.2024"
"SEE984012231815";"WEA 05";"In Planung";"";"26.8.2024";"Wind";"6000";"6000";"18461";"Franzburg";"eno energy GmbH";"ABR918822616838";"26.8.2024"
"SEE909307721703";"Power to the Bauer";"In Betrieb";"26.8.2024";"26.8.2024";"Wind";"1";"1";"89296";"Osterberg";"(natürliche Person)";"ABR992452126851";"26.8.2024"
"SEE993408566165";"Wind 1";"In Planung";"";"25.8.2024";"Wind";"0,8";"0,8";"73655";"Plüderhausen";"SLK System Lüftung und Klima GmBH";"ABR937696985468";"14.9.2024"
"SEE942376605802";"WEA1";"In Betrieb";"20.8.2024";"23.8.2024";"Wind";"6000";"6000";"18461";"Franzburg";"Norddeutsche Energie WP Franzburg GmbH & Co. KG";"ABR942866811850";"23.8.2024"
"SEE950936619930";"WEA 01 Würselen Repowering";"In Betrieb";"20.8.2024";"23.8.2024";"Wind";"3600";"3600";"52146";"Würselen";"REA WEA Würselen 1 GmbH & Co. KG";"ABR940145120471";"6.9.2024"
"SEE994060175528";"WEA 02 Würselen Repowering";"In Betrieb";"20.8.2024";"23.8.2024";"Wind";"3600";"3600";"52146";"Würselen";"REA WEA Würselen 2 GmbH & Co. KG";"ABR931822451643";"6.9.2024"
"SEE934474348361";"WP Mittelherwigsdorf - 1381109";"In Betrieb";"14.8.2024";"23.8.2024";"Wind";"4200";"4200";"02763";"Mittelherwigsdorf";"Windpark GmbH & Co. Mittelherwigsdorf II KG";"ABR943223649666";"10.9.2024"
"SEE913828889583";"WP Mittelherwigsdorf - 1381110";"In Betrieb";"14.8.2024";"23.8.2024";"Wind";"4200";"4200";"02763";"Mittelherwigsdorf";"Windpark GmbH & Co. Mittelherwigsdorf II KG";"ABR943223649666";"10.9.2024"
"SEE919765150953";"WEA 3 - 250054";"In Betrieb";"22.8.2024";"23.8.2024";"Wind";"6000";"6000";"25721";"Eggstedt";"Neuhofer Windenergie GmbH & Co. KG";"ABR901827619010";"23.8.2024"
"SEE996279194772";"WEA 24N";"In Betrieb";"21.8.2024";"22.8.2024";"Wind";"4200";"4200";"26899";"Rhede";"Windpark Rhede GmbH & Co. KG";"ABR924963805291";"2.10.2024"
"SEE922126260130";"SkyWind Mikrowindkraftanlage";"In Betrieb";"20.8.2024";"22.8.2024";"Wind";"0,9";"0,9";"54411";"Hermeskeil";"(natürliche Person)";"ABR917525768066";"22.8.2024"
"SEE948231683862";"Bürgerwindpark Borgentreich 1";"In Planung";"";"22.8.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE932053156765";"Bürgerwindpark Borgentreich 2";"In Planung";"";"22.8.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE991358405602";"Bürgerwindpark Borgentreich 3";"In Planung";"";"22.8.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE945919631443";"Bürgerwindpark Borgentreich 4";"In Planung";"";"22.8.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE932840365721";"Bürgerwindpark Borgentreich 5";"In Planung";"";"22.8.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE954419921961";"B13";"In Betrieb";"13.8.2024";"21.8.2024";"Wind";"11550";"11550";"";"";"Gode Wind 3 GmbH & Co. oHG";"ABR996162138371";"21.10.2024"
"SEE916036823455";"LT4";"In Planung";"";"21.8.2024";"Wind";"6200";"6200";"56767";"Lirstal";"Windkraftwerk Lirstal 2 GmbH & Co. KG";"ABR934148421338";"10.10.2024"
"SEE910438528475";"LT3";"In Planung";"";"21.8.2024";"Wind";"6200";"6200";"56767";"Lirstal";"Windkraftwerk Lirstal 3 GmbH & Co. KG";"ABR941918026310";"4.10.2024"
"SEE918666619118";"WEA Kemmen 03";"In Planung";"";"21.8.2024";"Wind";"6600";"6600";"03205";"Calau";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"21.8.2024"
"SEE914060357342";"WEA 01 - WP Heilshoop";"In Planung";"";"21.8.2024";"Wind";"4200";"4200";"23619";"Heilshoop";"Trave Erneuerbare Energien GmbH & Co. KG";"ABR965143539896";"11.9.2024"
"SEE973715722515";"WEA 08 Nideggen-Ost";"In Planung";"";"21.8.2024";"Wind";"6000";"6000";"52385";"Nideggen";"REA GmbH Umweltinvest";"ABR917115992765";"21.8.2024"
"SEE930409831908";"WEA 10 Nideggen-Ost";"In Planung";"";"21.8.2024";"Wind";"6000";"6000";"52385";"Nideggen";"REA GmbH Umweltinvest";"ABR917115992765";"21.8.2024"
"SEE908135095451";"Mikrowindkraftanlage 1";"In Planung";"";"21.8.2024";"Wind";"0,9";"0,9";"21039";"Hamburg";"(natürliche Person)";"ABR954754615631";"21.8.2024"
"SEE910736012669";"Mikrowindkraftanlage 2";"In Planung";"";"21.8.2024";"Wind";"0,9";"0,9";"21039";"Hamburg";"(natürliche Person)";"ABR954754615631";"21.8.2024"
"SEE966528769181";"WEA Kemmen 04";"In Planung";"";"21.8.2024";"Wind";"6600";"6600";"03205";"Calau";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"21.8.2024"
"SEE961879612698";"WP Borsum WEA 7 Enercon E160";"In Betrieb";"20.8.2024";"20.8.2024";"Wind";"5560";"5560";"26899";"Rhede";"Windpark Borsum GmbH & Co. KG";"ABR974145340584";"1.10.2024"
"SEE983677820501";"WKA2";"In Planung";"";"20.8.2024";"Wind";"5700";"5700";"15518";"Briesen";"GBB Windpark Madlitz GmbH & Co. KG";"ABR991402342754";"27.9.2024"
"SEE957721795725";"WKA3";"In Planung";"";"20.8.2024";"Wind";"5700";"5700";"15518";"Briesen";"GBB Windpark Madlitz GmbH & Co. KG";"ABR991402342754";"27.9.2024"
"SEE941970497172";"WKA4";"In Planung";"";"20.8.2024";"Wind";"5700";"5700";"15518";"Briesen";"GBB Windpark Madlitz GmbH & Co. KG";"ABR991402342754";"27.9.2024"
"SEE953850707974";"WKA5";"In Planung";"";"20.8.2024";"Wind";"5700";"5700";"15518";"Briesen";"GBB Windpark Madlitz GmbH & Co. KG";"ABR991402342754";"27.9.2024"
"SEE946867439792";"WEA Kemmen 01";"In Planung";"";"20.8.2024";"Wind";"6600";"6600";"03205";"Calau";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"20.8.2024"
"SEE915041152239";"WEA Kemmen 02";"In Planung";"";"20.8.2024";"Wind";"6600";"6600";"03205";"Calau";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"20.8.2024"
"SEE917920376156";"WEA 1 1030309 Billerbeck-Kentrup";"In Betrieb";"16.8.2024";"19.8.2024";"Wind";"2350";"2350";"48727";"Billerbeck";"SL Bürgerenergie Billerbeck Gmbh & Co. KG";"ABR967954518183";"18.10.2024"
"SEE922336951699";"WEA 2 1030310 Billerbeck-Kentrup";"In Betrieb";"15.8.2024";"19.8.2024";"Wind";"2350";"2350";"48727";"Billerbeck";"SL Bürgerenergie Billerbeck Gmbh & Co. KG";"ABR967954518183";"18.10.2024"
"SEE933136725540";"WEA 3 1030311 Billerbeck-Kentrup";"In Betrieb";"15.8.2024";"19.8.2024";"Wind";"2350";"2350";"48727";"Billerbeck";"SL Bürgerenergie Billerbeck Gmbh & Co. KG";"ABR967954518183";"18.10.2024"
"SEE909884751827";"1160201";"In Betrieb";"16.8.2024";"19.8.2024";"Wind";"4200";"4200";"54413";"Grimburg";"GERES EnergieSysteme V GmbH";"ABR944135361486";"19.8.2024"
"SEE917411224065";"QUE-WEA 1-NX 93091";"In Betrieb";"13.8.2024";"19.8.2024";"Wind";"5700";"5700";"39628";"Bismark";"ENGIE Windpark Querstedt-Badingen Repowering GmbH";"ABR907604221094";"19.8.2024"
"SEE995584869405";"Windpark Prüm Air Station GmbH & Co. KG WEA1";"In Betrieb";"15.8.2024";"19.8.2024";"Wind";"5700";"5700";"54597";"Olzheim";"Windpark Prüm Air Station GmbH & Co. KG";"ABR957595102087";"19.8.2024"
"SEE912739616837";"Windpark Prüm Air Station GmbH & Co. KG WEA2";"In Betrieb";"15.8.2024";"19.8.2024";"Wind";"5700";"5700";"54597";"Olzheim";"Windpark Prüm Air Station GmbH & Co. KG";"ABR957595102087";"19.8.2024"
"SEE960035067150";"WKA1";"In Planung";"";"19.8.2024";"Wind";"5700";"5700";"15518";"Briesen";"GBB Windpark Madlitz GmbH & Co. KG";"ABR991402342754";"27.9.2024"
"SEE903459034896";"WEA01 Aurea";"In Planung";"";"19.8.2024";"Wind";"6800";"6800";"33378";"Rheda-Wiedenbrück";"Windenergie zur Marburg Dienstleistungs GmbH";"ABR976426622792";"19.8.2024"
"SEE968233945935";"Olsberg-Mannstein WEA 05";"In Betrieb";"12.8.2024";"16.8.2024";"Wind";"3450";"3450";"59939";"Olsberg";"MVV Windenergie GmbH";"ABR982511102919";"29.9.2024"
"SEE963419127150";"WEA 1 - WP Grimmen-Papenhagen";"In Planung";"";"16.8.2024";"Wind";"5700";"5700";"18510";"Papenhagen";"Papenhäger Wind GmbH";"ABR996423782589";"23.10.2024"
"SEE977471535884";"WEA 2 - WP Grimmen-Papenhagen";"In Planung";"";"16.8.2024";"Wind";"5700";"5700";"18510";"Papenhagen";"RWE Windpark Papenhagen GmbH & Co. KG";"ABR902428652376";"16.8.2024"
"SEE978107332921";"Falcon 40 Kleinwindkraftanlage";"In Betrieb";"1.7.2024";"16.8.2024";"Wind";"7,5";"7,5";"25764";"Hillgroven";"Maschinengenossenschaft Wesselburenerkoog eG";"ABR928954108576";"16.8.2024"
"SEE923729333115";"WEA 3 - WP Grimmen-Papenhagen";"In Planung";"";"16.8.2024";"Wind";"5700";"5700";"18510";"Papenhagen";"RWE Windpark Papenhagen GmbH & Co. KG";"ABR902428652376";"16.8.2024"
"SEE973155875024";"WEA 4 - WP Grimmen-Papenhagen";"In Planung";"";"16.8.2024";"Wind";"5700";"5700";"18510";"Papenhagen";"RWE Windpark Papenhagen GmbH & Co. KG";"ABR902428652376";"16.8.2024"
"SEE950093418629";"WEA 5 - WP Grimmen-Papenhagen";"In Planung";"";"16.8.2024";"Wind";"5700";"5700";"18510";"Papenhagen";"RWE Windpark Papenhagen GmbH & Co. KG";"ABR902428652376";"16.8.2024"
"SEE973859841578";"WEA 6 - WP Grimmen-Papenhagen";"In Planung";"";"16.8.2024";"Wind";"5700";"5700";"18510";"Wittenhagen";"Windpark Wittenhagen GmbH";"ABR956528678941";"23.10.2024"
"SEE932578124461";"WEA 7 - WP Grimmen-Papenhagen";"In Planung";"";"16.8.2024";"Wind";"5700";"5700";"18510";"Wittenhagen";"Windpark Wittenhagen GmbH";"ABR956528678941";"23.10.2024"
"SEE951817626856";"N-WEA1";"In Betrieb";"23.7.2024";"15.8.2024";"Wind";"5700";"5700";"33184";"Altenbeken";"Heng Windgemeinschaft GmbH & Co. KG";"ABR979873315248";"15.8.2024"
"SEE945832153152";"N-WEA2";"In Betrieb";"23.7.2024";"15.8.2024";"Wind";"5700";"5700";"33184";"Altenbeken";"Heng Windgemeinschaft GmbH & Co. KG";"ABR979873315248";"15.8.2024"
"SEE966008846562";"WEA 05 Nideggen-Ost";"In Planung";"";"15.8.2024";"Wind";"6000";"6000";"52385";"Nideggen";"REA GmbH Umweltinvest";"ABR917115992765";"15.8.2024"
"SEE981102890334";"WEA 06 Nideggen-Ost";"In Planung";"";"15.8.2024";"Wind";"6000";"6000";"52385";"Nideggen";"REA GmbH Umweltinvest";"ABR917115992765";"15.8.2024"
"SEE932575968723";"WEA 07 Nideggen-Ost";"In Planung";"";"15.8.2024";"Wind";"6000";"6000";"52385";"Nideggen";"REA GmbH Umweltinvest";"ABR917115992765";"15.8.2024"
"SEE962923008573";"BH19";"In Planung";"";"14.8.2024";"Wind";"6200";"6200";"99994";"Nottertal-Heilinger Höhen";"Windkraft Tornow T05 GmbH & Co. KG";"ABR929183377122";"19.8.2024"
"SEE924385935002";"BH24";"In Planung";"";"14.8.2024";"Wind";"6200";"6200";"99994";"Nottertal-Heilinger Höhen";"Windkraft Tornow T05 GmbH & Co. KG";"ABR929183377122";"14.8.2024"
"SEE937280152054";"BH25";"In Planung";"";"14.8.2024";"Wind";"6200";"6200";"99994";"Nottertal-Heilinger Höhen";"Windkraft Tornow T05 GmbH & Co. KG";"ABR929183377122";"14.8.2024"
"SEE970872342174";"BH26";"In Planung";"";"14.8.2024";"Wind";"6200";"6200";"99994";"Nottertal-Heilinger Höhen";"Windkraft Tornow T05 GmbH & Co. KG";"ABR929183377122";"14.8.2024"
"SEE982029318291";"WEA 01 Nideggen-Ost";"In Planung";"";"14.8.2024";"Wind";"6000";"6000";"52385";"Nideggen";"REA GmbH Umweltinvest";"ABR917115992765";"14.8.2024"
"SEE928137538985";"WEA 02 Nideggen-Ost";"In Planung";"";"14.8.2024";"Wind";"5560";"5560";"52385";"Nideggen";"REA GmbH Umweltinvest";"ABR917115992765";"14.8.2024"
"SEE989113643949";"WEA 03 Nideggen-Ost";"In Planung";"";"14.8.2024";"Wind";"6000";"6000";"52385";"Nideggen";"REA GmbH Umweltinvest";"ABR917115992765";"14.8.2024"
"SEE932228447704";"WEA 04 Nideggen-Ost";"In Planung";"";"14.8.2024";"Wind";"6000";"6000";"52385";"Nideggen";"REA GmbH Umweltinvest";"ABR917115992765";"14.8.2024"
"SEE955538174627";"WEA Everswinkel 1";"In Betrieb";"6.8.2024";"13.8.2024";"Wind";"5700";"5700";"48351";"Everswinkel";"UGE Everswinkel GmbH & Co. KG Umweltgerechte Energie";"ABR957357431141";"13.8.2024"
"SEE927973122105";"WEA 4-250052";"In Betrieb";"13.8.2024";"13.8.2024";"Wind";"6000";"6000";"25727";"Süderhastedt";"Energie für die Geest eG";"ABR936006869382";"13.8.2024"
"SEE996392045579";"MÜR9";"In Planung";"";"13.8.2024";"Wind";"4800";"4800";"16278";"Angermünde";"TEUT Energieprojekte GmbH";"ABR985766839241";"30.9.2024"
"SEE980376380732";"Senden WEA 1";"In Betrieb";"8.8.2024";"12.8.2024";"Wind";"5560";"5560";"48308";"Senden";"Westwind Projektierungs GmbH & Co. KG";"ABR923828951203";"26.9.2024"
"SEE941869425422";"WI05.1";"In Planung";"";"12.8.2024";"Wind";"2300";"2300";"06712";"Schnaudertal";"BOREAS Energie GmbH";"ABR909054335185";"12.8.2024"
"SEE934841968963";"WI06.1";"In Planung";"";"12.8.2024";"Wind";"2300";"2300";"06712";"Schnaudertal";"BOREAS Energie GmbH";"ABR909054335185";"12.8.2024"
"SEE942109843174";"KWK fh-elmo";"In Betrieb";"11.8.2024";"12.8.2024";"Wind";"0,6";"0,6";"18279";"Lalendorf";"(natürliche Person)";"ABR994993274190";"12.8.2024"
"SEE960370788581";"BE28";"In Betrieb";"23.7.2024";"9.8.2024";"Wind";"9525";"9525";"";"";"Baltic Eagle GmbH";"ABR969791194568";"27.8.2024"
"SEE909551866762";"BE37";"In Betrieb";"23.7.2024";"9.8.2024";"Wind";"9525";"9525";"";"";"Baltic Eagle GmbH";"ABR969791194568";"27.8.2024"
"SEE905005310188";"Windkraft";"In Betrieb";"9.8.2024";"9.8.2024";"Wind";"0,6";"0,6";"24855";"Jübek";"(natürliche Person)";"ABR929240662116";"26.8.2024"
"SEE947653185558";"Windkraft";"In Betrieb";"26.7.2024";"9.8.2024";"Wind";"1";"1";"49328";"Melle";"(natürliche Person)";"ABR938072024078";"9.8.2024"
"SEE956382949331";"Miniwindkraftanlage";"In Planung";"";"9.8.2024";"Wind";"0,6";"0,6";"31234";"Edemissen";"(natürliche Person)";"ABR963600195265";"9.8.2024"
"SEE947192528168";"Senden WEA 2";"In Betrieb";"1.8.2024";"8.8.2024";"Wind";"5560";"5560";"48308";"Senden";"Westwind Projektierungs GmbH & Co. KG";"ABR923828951203";"8.8.2024"
"SEE907438059726";"WEA 10 - Vestas EnVentus V162-7.2 MW - V250685";"In Betrieb";"8.8.2024";"8.8.2024";"Wind";"7200";"7200";"24992";"Janneby";"Bürgerwindpark Janneby eG";"ABR920000488434";"2.9.2024"
"SEE915121684193";"Olsberg-Mannstein WEA 01";"In Betrieb";"25.7.2024";"8.8.2024";"Wind";"3450";"3450";"59939";"Olsberg";"MVV Windenergie GmbH";"ABR982511102919";"29.9.2024"
"SEE992248900368";"WEA 5-250058";"In Betrieb";"6.8.2024";"8.8.2024";"Wind";"6000";"6000";"25727";"Süderhastedt";"Bürgerwind Südergeest Erweiterung GmbH & Co. KG";"ABR975360363242";"8.8.2024"
